1stFlrSF,2ndFlrSF,BsmtFinSF1,GarageArea,GrLivArea,LotArea,OverallCond,OverallQual,TotalBsmtSF,YearBuilt
2515,0.0,1219,484,2515,32668,3,6,2035,1957
958,620.0,403,240,1578,9490,7,6,806,1941
979,224.0,185,352,1203,7015,4,5,709,1950
1156,866.0,392,505,2022,10005,5,7,1160,1977
525,348.5240174672489,0,264,1092,1680,5,6,525,1971
1022,0.0,247,280,1022,7200,4,5,1022,1910
1464,0.0,929,754,1464,15256,5,8,1485,2007
780,595.0,0,544,1375,9000,6,6,780,1937
2411,2065.0,2096,813,4476,15623,5,10,2396,1996
551,551.0,239,480,1102,5105,5,7,551,2004
1352,0.0,0,466,1352,4230,5,7,1352,2006
1680,0.0,0,528,1680,11500,6,5,1680,1976
1005,978.0,694,490,1983,10762,5,7,978,1999
900,0.0,769,288,900,7838,5,5,864,1967
1082,0.0,336,240,1082,11664,5,6,1082,1948
1314,0.0,922,294,1314,8400,6,5,1314,1957
1061,862.0,674,564,1923,10186,5,7,750,1992
990,0.0,588,0,990,8070,5,4,990,1994
1228,0.0,0,271,1228,8544,6,5,1228,1966
916,348.5240174672489,299,164,1826,2500,8,7,910,1915
910,348.5240174672489,507,720,1385,8520,4,5,910,1952
848,0.0,662,420,848,4438,5,6,848,2004
816,0.0,104,516,816,8472,5,5,816,1963
702,779.0,0,343,1481,8125,5,6,702,1994
943,933.0,442,540,1876,9120,6,6,901,1974
916,826.0,216,424,1742,17671,9,8,916,1882
769,804.0,378,440,1573,2117,5,6,756,2000
630,0.0,131,0,630,1936,6,4,630,1970
1698,0.0,1234,768,1698,13286,5,9,1698,2007
832,384.0,442,336,1216,8480,5,5,832,1947
1776,348.5240174672489,0,888,1776,11475,5,5,1584,1958
1006,769.0,513,425,1775,9317,5,7,740,1993
912,348.5240174672489,773,470,912,7540,6,6,888,1978
1145,348.5240174672489,655,836,2198,14260,5,8,1145,2000
2046,0.0,0,834,2046,11844,5,8,2046,2008
729,717.0,604,406,1446,21872,5,7,729,1996
1561,0.0,1153,556,1561,7313,5,9,1561,2005
882,0.0,138,461,882,7700,5,5,882,1972
912,1182.0,0,615,2094,9375,5,7,912,2003
1500,348.5240174672489,1032,712,2622,12256,5,8,1463,1994
2158,0.0,477,576,2158,12615,7,6,1202,1950
1360,0.0,384,572,1360,7134,5,5,384,1955
1310,0.0,24,400,1310,8767,5,7,1310,2005
1836,0.0,1039,862,1836,11362,5,8,1836,2004
1490,1304.0,689,810,2794,15138,5,8,1462,1995
1728,348.5240174672489,40,352,1728,10624,4,5,1728,1964
825,0.0,180,720,825,8235,7,5,825,1955
894,0.0,182,308,894,10650,6,5,894,1976
918,765.0,226,440,1683,11184,5,6,918,1978
930,0.0,0,308,930,11100,7,4,0,1946
1572,1096.0,1016,726,2668,13688,5,9,1572,2003
1073,0.0,836,515,1073,10289,7,5,1073,1965
1334,0.0,686,630,1334,9650,5,6,1350,1977
788,0.0,266,0,788,7446,5,4,788,1941
1644,0.0,1518,569,1644,12800,5,7,1518,1989
872,0.0,0,480,872,8294,5,4,858,1971
768,664.0,0,360,1432,9600,7,5,264,1910
901,900.0,0,800,1801,10463,5,8,893,2005
1121,0.0,651,480,1121,8816,6,5,1121,1963
789,0.0,104,250,789,6000,5,5,789,1948
1054,0.0,763,480,1054,8800,7,6,936,1963
1048,0.0,586,286,1048,10152,5,5,1048,1956
1236,0.0,360,447,1236,10011,6,5,1070,1957
1152,0.0,1014,484,1152,14112,7,5,1152,1964
